ZCTA5,Zip5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON
Z03287,3287,68003168,416004,26.26,0.16,1295,621,43.443115,-71.922637
Z03290,3290,118666228,4695074,45.82,1.81,4731,1947,43.129847,-71.131859
Z03291,3291,468160,0,0.18,0,39,16,43.179131,-71.142619
Z03293,3293,4201880,256899,1.62,0.1,143,152,43.97062,-71.679913
Z03301,3301,128255065,7137741,49.52,2.76,33008,14455,43.23227,-71.553012
Z03303,3303,174735473,4498282,67.47,1.74,15524,6699,43.311685,-71.665421
Z03304,3304,72603163,1013660,28.03,0.39,7519,2807,43.133176,-71.537242
Z03307,3307,128654532,1782638,49.67,0.69,5334,2098,43.333988,-71.446658
Z03431,3431,154023267,2010094,59.47,0.78,25280,10652,42.965044,-72.294803
Z03440,3440,93674070,2149359,36.17,0.83,2692,1352,43.052669,-71.988755
Z03441,3441,10142582,14217,3.92,0.01,395,170,42.780669,-72.446994
Z03442,3442,28827061,671567,11.13,0.26,1491,685,43.020281,-71.903693
Z03443,3443,28777183,288766,11.11,0.11,742,319,42.875727,-72.456114
Z03444,3444,72683140,2860379,28.06,1.1,1590,781,42.889279,-72.069849
Z03445,3445,51812080,489879,20,0.19,691,312,43.020616,-72.214374
Z03446,3446,110732975,591429,42.75,0.23,6285,2679,42.858271,-72.29636
Z03447,3447,90690658,3637278,35.02,1.4,2422,1260,42.753868,-72.153174
Z03448,3448,50385612,69497,19.45,0.03,811,376,43.052622,-72.274498
Z03449,3449,77626641,3234024,29.97,1.25,1654,864,42.977339,-71.997821
Z03450,3450,48126081,4073718,18.58,1.57,961,695,42.948318,-72.068558
Z03451,3451,55458810,5562051,21.41,2.15,4077,1843,42.809298,-72.504822
Z03452,3452,99227871,4488199,38.31,1.73,5457,2547,42.829254,-72.0599
Z03455,3455,60901897,1181506,23.51,0.46,2086,963,42.901769,-72.172904
Z03456,3456,67201281,1217456,25.95,0.47,742,408,43.138544,-72.208769
Z03457,3457,59525160,4054109,22.98,1.57,852,566,42.999759,-72.121568
Z03458,3458,138145111,1050414,53.34,0.41,6643,3124,42.868369,-71.940102
Z03461,3461,96281338,7127892,37.17,2.75,6014,2224,42.756663,-72.013247
Z03462,3462,50616977,3286489,19.54,1.27,1562,929,42.889215,-72.388934
Z03464,3464,128934042,4990458,49.78,1.93,1109,938,43.088157,-72.1243
Z03465,3465,45644342,405681,17.62,0.16,2156,937,42.828785,-72.18894
Z03466,3466,39570237,1626415,15.28,0.63,1332,568,42.890263,-72.502966
Z03467,3467,91718664,2805200,35.41,1.08,1842,666,42.968075,-72.430856
Z03470,3470,226214956,1911111,87.34,0.74,5033,2230,42.771336,-72.354694
Z03561,3561,131988339,10407106,50.96,4.02,5939,3075,44.343352,-71.795119
Z03570,3570,273397988,3464307,105.56,1.34,10051,4973,44.504596,-71.155466
Z03574,3574,234651984,915397,90.6,0.35,2526,1517,44.260435,-71.609203
Z03575,3575,71957724,56026,27.78,0.02,124,387,44.313744,-71.402889
Z03576,3576,368492454,2543014,142.28,0.98,3238,2489,44.912445,-71.385112
Z03579,3579,1422872029,83246219,549.37,32.14,461,1163,44.964771,-71.025563
Z03580,3580,246478333,841423,95.17,0.32,1369,1055,44.163382,-71.693299
Z03581,3581,389435567,3503716,150.36,1.35,3230,1709,44.289781,-71.152149
Z03582,3582,220743496,4112361,85.23,1.59,2577,1439,44.562046,-71.441428
Z03583,3583,130386418,855647,50.34,0.33,1107,679,44.39674,-71.464694
Z03584,3584,152855776,2524937,59.02,0.97,3774,1814,44.483853,-71.545865
Z03585,3585,209504380,2193646,80.89,0.85,2519,1385,44.222416,-71.877173
Z03586,3586,43098998,473829,16.64,0.18,547,429,44.21841,-71.80024
Z03588,3588,369200052,5483001,142.55,2.12,1641,1106,44.62304,-71.211845
Z03590,3590,272724561,1803050,105.3,0.7,1052,749,44.750929,-71.47672
Z03592,3592,852457298,31019764,329.14,11.98,1145,2182,45.116271,-71.260979
Z03593,3593,241865131,75654,93.38,0.03,313,314,44.302174,-71.299151
Z03595,3595,95162380,6315,36.74,0,639,507,44.305324,-71.497302
Z03597,3597,138354987,1966476,53.42,0.76,521,309,44.744505,-71.382495
Z03598,3598,159811764,2577297,61.7,1,3285,1916,44.378898,-71.628699
Z03601,3601,49731702,313496,19.2,0.12,477,289,43.236967,-72.288446
Z03602,3602,150241938,1680222,58.01,0.65,2654,1311,43.140832,-72.347568
Z03603,3603,110379750,5817280,42.62,2.25,5412,2415,43.246634,-72.383931
Z03604,3604,1262647,25256,0.49,0.01,69,28,43.127333,-72.376864
Z03605,3605,83840974,1107124,32.37,0.43,1160,682,43.236564,-72.184869
Z03607,3607,40320559,13,15.57,0,322,180,43.19651,-72.268353
Z03608,3608,87538488,3027468,33.8,1.17,2811,1287,43.076505,-72.395926
Z03609,3609,2310753,897631,0.89,0.35,854,400,43.143926,-72.446391
Z03740,3740,88787537,1097491,34.28,0.42,911,482,44.184322,-71.978799
Z03741,3741,199105097,4732706,76.87,1.83,4208,2090,43.674942,-72.008828
Z03743,3743,158428482,2586452,61.17,1,14103,6529,43.360725,-72.326929
Z03745,3745,90516133,1869203,34.95,0.72,1424,646,43.476455,-72.33415
Z03746,3746,18540035,0,7.16,0,216,101,43.494376,-72.257151
Z03748,3748,111258676,6690073,42.96,2.58,4762,2595,43.589031,-72.131929
Z03750,3750,32448349,339221,12.53,0.13,870,365,43.708188,-72.195047
Z03751,3751,7930840,497453,3.06,0.19,583,352,43.449753,-72.092311
Z03752,3752,58230518,238931,22.48,0.09,810,444,43.272295,-72.100485
Z03753,3753,70231641,2287193,27.12,0.88,2971,1760,43.51659,-72.149094
Z03754,3754,99446,0,0.04,0,86,49,43.377461,-72.13839
Z03755,3755,93501096,2945461,36.1,1.14,10538,3152,43.740983,-72.139134
Z03765,3765,11391216,375406,4.4,0.14,503,249,44.035227,-72.050203
Z03766,3766,82290818,1321571,31.77,0.51,8958,4525,43.633301,-72.235746
Z03768,3768,139434680,2297796,53.84,0.89,1716,810,43.816372,-72.094012
Z03770,3770,12816430,497,4.95,0,524,185,43.5313,-72.258815
Z03771,3771,57036410,3861788,22.02,1.49,754,355,44.296664,-71.980649
Z03773,3773,239102829,3128331,92.32,1.21,7841,3689,43.370546,-72.197494
Z03774,3774,67092535,2098232,25.9,0.81,1966,860,44.099753,-71.985475
Z03777,3777,117316531,3364793,45.3,1.3,1237,654,43.886181,-72.061138
Z03779,3779,103105717,3811670,39.81,1.47,790,476,43.961593,-72.001418
Z03780,3780,42118686,186983,16.26,0.07,410,211,44.046846,-71.988957
Z03781,3781,122302895,1937605,47.22,0.75,1840,799,43.560058,-72.299358
Z03782,3782,54686367,10134998,21.11,3.91,2945,2151,43.390088,-72.093129
Z03784,3784,21711602,1965851,8.38,0.76,4086,2080,43.638168,-72.306405
Z03785,3785,154699196,2080339,59.73,0.8,2400,1360,44.043516,-71.9122
Z03801,3801,61709181,14193990,23.83,5.48,21532,10947,43.074812,-70.805443
Z03809,3809,104420642,2623883,40.32,1.01,3716,2026,43.457846,-71.199131
Z03810,3810,59859217,47509608,23.11,18.34,1538,2263,43.513645,-71.293868
Z03811,3811,28852738,412792,11.14,0.16,6753,2788,42.839223,-71.16632
